词,类型,来源,来源活动,搜索量/曝光,点击,订单,销售额,花费,预估竞争度,推荐ASIN,建议匹配类型,建议动作,处理状态
rack and pinion for honda pilot 2011,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0GQZ68DTZ-KX4SGE09200,1.0,1.0,1.0,146.99,0.91,待补ABA搜索量/排名,B0GQZ68DTZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4PSP16600-重点,460.0,5.0,1.0,146.99,2.16,待补ABA搜索量/排名,B0H6WM22T1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2014 ct200h rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE19400-重点,37.0,6.0,1.0,146.99,4.46,待补ABA搜索量/排名,B0H6WMYKNQ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1998 honda crv steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP15900-B0DPMWTLZB,2.0,1.0,1.0,145.99,0.65,待补ABA搜索量/排名,B0DPMWTLZB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1999 honda crv steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP15900-重点,5.0,1.0,1.0,145.99,0.65,待补ABA搜索量/排名,B0DPMWTLZB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack toyota highlander 2003,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,145.99,0.48,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18000；SP-KW-Mix-转向器-王云-KC4PSP18000-重点,211.0,5.0,1.0,145.46,2.71,待补ABA搜索量/排名,B0GCMGPV1W,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1998 honda civic rack and pinion kit,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4PSP16500-重点,3.0,1.0,1.0,144.99,0.62,待补ABA搜索量/排名,B0DPCXF2L9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2002 suzuki xl7,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,1.0,1.0,144.99,0.48,待补ABA搜索量/排名,B0DWMT4JDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
kac power steering rack and pinion rav4 1998,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4SGE00400-重点,2.0,1.0,1.0,143.99,0.8,待补ABA搜索量/排名,B0GR4V3RNT,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2000 forerunner,机会词（有出单未覆盖）,搜索词报告,SP-KW-KC4PSP16100-B0DPCXYMH5-转向器-vine,1.0,1.0,1.0,142.99,0.88,待补ABA搜索量/排名,B0DPCXYMH5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for toyota 4runner 2000,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-B0DPCXYMH5,1.0,1.0,1.0,142.99,0.88,待补ABA搜索量/排名,B0DPCXYMH5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2003 hyundai elantra power steering rack and.pinion outer tie rods suspension kit,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4SGE04200-重点,4.0,1.0,1.0,141.99,0.63,待补ABA搜索量/排名,B0H6WLCCKW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hyundai elantra hydraulic steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,4.0,1.0,1.0,140.99,0.45,待补ABA搜索量/排名,B0DPCXMDMM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KX4SGE08200-重点；SP-AUTO-MIXS-王云-转向器-KX4SGE08200；SP-AUTO-MIXS-王云-转向器大于0.12,1070.0,15.0,1.0,139.99,5.99,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
chevrolet cobalt,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4SGE05300,1.0,1.0,1.0,138.99,0.45,待补ABA搜索量/排名,B0FLY1TWFX,词组,新建对应ASIN关键词投放，7天复核,待运营确认
electric steering rack for chevy cobalt 2008,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE20300,10.0,1.0,1.0,138.99,0.74,待补ABA搜索量/排名,B0GR45YTCV,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4SGE00100-重点；SP-AUTO-MIXS-王云-转向器-KC4SGE00100,157.0,7.0,1.0,137.99,4.09,待补ABA搜索量/排名,B0DPQLLN9D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 audi s4 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE17400,4.0,1.0,1.0,137.99,0.66,待补ABA搜索量/排名,B0GR4JV9H7,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack prius 2007,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器26新品-王云-OO4SGE38900,1.0,1.0,1.0,137.99,0.6,待补ABA搜索量/排名,B0H6WHND3D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
honda crv2001 steering rancampiño,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4PSP15900-重点,2.0,1.0,1.0,137.99,0.65,待补ABA搜索量/排名,B0H6WJ68X4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 chevy impala 3.8l rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4PSP16600-重点,2.0,1.0,1.0,137.99,0.8,待补ABA搜索量/排名,B0H6WM22T1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 chevy impala racketeer,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4PSP16600-重点,2.0,1.0,1.0,137.99,0.64,待补ABA搜索量/排名,B0H6WM22T1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for chevrolet trailblazer 2005 4x4 lt,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18000,8.0,1.0,1.0,135.79,0.88,待补ABA搜索量/排名,B0GCMGPV1W,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 hyundai accent rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE16800,15.0,2.0,1.0,134.99,1.24,待补ABA搜索量/排名,B0F66ZWC45,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 hyundai accent rack and pinion (buyautoparts rack and pinion with power steering 80-01464r remanufactured),机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE16800-重点,4.0,1.0,1.0,134.99,0.33,待补ABA搜索量/排名,B0F66ZWC45,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 toyota avalon rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE04300,11.0,3.0,1.0,133.99,2.85,待补ABA搜索量/排名,B0GR4QK84Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack y pinion toyota avalon 2000,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE04300,19.0,1.0,1.0,133.99,0.98,待补ABA搜索量/排名,B0GR4QK84Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 dodge sprinter 3500 diesel 3.0 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE00600,14.0,7.0,1.0,132.13,6.39,待补ABA搜索量/排名,B0GR3Z8FHX,词组,新建对应ASIN关键词投放，7天复核,待运营确认
"10 hyundai elantra touring,wagon stealing rack,",机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE23900-重点,3.0,1.0,1.0,131.96,0.6,待补ABA搜索量/排名,B0DWMW8QBM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion assembly for 2011-2020 automatic toyota sienna,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,6.0,1.0,1.0,130.61,0.9,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 hyundai accent steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,129.99,0.48,待补ABA搜索量/排名,B0FCY4HGCF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2000 lexus es300 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4SGE04300-重点,1.0,1.0,1.0,128.59,0.64,待补ABA搜索量/排名,B0H6XDL6SG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4SGE04300-重点,2.0,1.0,1.0,128.59,0.6,待补ABA搜索量/排名,B0H6XDL6SG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2013 hyundai elantra rack a ping,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,9.0,1.0,1.0,126.99,0.5,待补ABA搜索量/排名,B0DPCXMDMM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion assembly fits,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-转向器-王云-KW组表现差暂停商品,1.0,1.0,1.0,126.99,0.55,待补ABA搜索量/排名,B0DWMVYC9M,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2012 hyundai elantra 1.8 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-PT4SGE19700,1.0,1.0,1.0,126.99,0.54,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2011 hyundai elantra gls,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE23900-重点,7.0,1.0,1.0,126.99,0.81,待补ABA搜索量/排名,B0DWMW8QBM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hyundai elantra 2013 mechanical rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,126.99,0.48,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota corolla 93 recampiño,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-转向器-王云-Auto组表现差暂停商品,7.0,2.0,1.0,126.99,1.0,待补ABA搜索量/排名,B0F9P45CHY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
03 toyota avalon rack and pinion 3.1 engine,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4SGE04300-重点,4.0,1.0,1.0,126.89,0.67,待补ABA搜索量/排名,B0GR4QK84Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 toyota sequoia power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16000-B0CN15P14D,3.0,1.0,1.0,126.43,1.02,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2000 toyota avalon xls rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4SGE04300-重点,10.0,1.0,1.0,125.52,0.87,待补ABA搜索量/排名,B0H6XDL6SG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 chevy silverado 1500 4.8 ls steering rack,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4PSP16200-重点,11.0,1.0,1.0,123.2,0.8,待补ABA搜索量/排名,B0DPQG957S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion 2011 toyota sienna xle awd,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,121.99,0.4,待补ABA搜索量/排名,B0FCY4HGCF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 cobalt rackand pinion knuckle,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4SGE05300,17.0,4.0,1.0,121.99,1.93,待补ABA搜索量/排名,B0FLY1TWFX,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop steering gear toyota sienna 2012 xle,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE19200-重点,31.0,4.0,1.0,120.99,2.11,待补ABA搜索量/排名,B0DWMTCC74,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion toyota sienna 2015 fwd,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE19200,9.0,1.0,1.0,120.99,0.66,待补ABA搜索量/排名,B0DWMTCC74,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack & pinion assembly hyundai elantra 2015,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE19800,1.0,1.0,1.0,119.99,0.84,待补ABA搜索量/排名,B0F18R2YW4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2015 hyundai elantra directional machine assembly,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,2.0,1.0,119.99,0.8,待补ABA搜索量/排名,B0F6LQ1J5Y,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion rav4 2010,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,1.0,1.0,1.0,119.99,1.72,待补ABA搜索量/排名,B0GGRP12H1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota rav4 2006 steering rack cross,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,2.0,1.0,1.0,119.99,1.72,待补ABA搜索量/排名,B0GGRP12H1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota rav4 2009 steering rack:,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,1.0,1.0,1.0,119.99,1.72,待补ABA搜索量/排名,B0GGRP12H1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack & pinion hyundai veloster 2013,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE19800-重点,24.0,1.0,1.0,119.99,0.91,待补ABA搜索量/排名,B0GR42MZ7S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
kia forte 2014 sector,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-PT4SGE26300,11.0,6.0,1.0,118.99,3.55,待补ABA搜索量/排名,B0DWMWLGF3,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2009 hhr rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,3.0,1.0,1.0,117.99,0.45,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2011 hyundai accent power steering line set steering rack for a 2011 hyundai accent hatchback 1.6 l,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,0.0,0.0,1.0,116.99,0.0,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rackpiño for a hhr2009 lt,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,116.99,0.38,待补ABA搜索量/排名,B0F672VQYZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion assembly hyundai accent 2006,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE16800,2.0,1.0,1.0,116.99,0.54,待补ABA搜索量/排名,B0H9LTXV5X,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 chevy equinox rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-PT4SGE26600-B0DWMW19KX-02,5.0,3.0,1.0,114.99,3.51,待补ABA搜索量/排名,B0DWMW19KX,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2016 chevy trax awd rack pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE20800,23.0,2.0,1.0,114.99,1.2,待补ABA搜索量/排名,B0DWMW4MXR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE20800-重点,8.0,2.0,1.0,114.99,1.05,待补ABA搜索量/排名,B0GQZGPBM2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
b0f1kgvv1b,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,3.0,1.0,1.0,113.1,0.08,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack sienna 2015,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE19200,15.0,2.0,1.0,112.55,1.62,待补ABA搜索量/排名,B0GR4C16WD,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack hyundai santa fe 2013,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,7.0,2.0,1.0,112.3,1.8,待补ABA搜索量/排名,B0F43KHJC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2017 chevy trax steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,1.0,1.0,1.0,111.99,0.27,待补ABA搜索量/排名,B0F6LQ1J5Y,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器王云-KC4SGE01800,9.0,1.0,1.0,111.61,0.73,待补ABA搜索量/排名,B0GR4C9BN5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2009 versa steering gear clock,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE26000-重点,4.0,2.0,1.0,108.99,0.99,待补ABA搜索量/排名,B0GR4PVZMB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2017 toyota sienna rack pinion,机会词（有出单未覆盖）,搜索词报告,SP-kw-Mix-转向器-王云-PT4SGE19200-重点,9.0,1.0,1.0,108.29,0.75,待补ABA搜索量/排名,B0DWMTCC74,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion toyota sienna 2020,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE19200,34.0,2.0,1.0,108.25,1.63,待补ABA搜索量/排名,B0GR4C16WD,词组,新建对应ASIN关键词投放，7天复核,待运营确认
complete steering rack and pinion for chevrolet malibu and pontiac g6 (2004-2012),机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,5.0,1.0,1.0,107.99,0.47,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 hyundai elantra steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,4.0,2.0,1.0,107.99,0.8,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
racanpiñode the direction of toyota corolla 2010,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,107.99,0.37,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
alexa give me a rack and pinion for a 2018 toyota avalon,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4SGE05500-重点,4.0,1.0,1.0,106.99,0.45,待补ABA搜索量/排名,B0F53BT2RC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
corolla 2010 power steering,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,5.0,1.0,1.0,106.99,0.48,待补ABA搜索量/排名,B0F672VQYZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2016 toyota camry,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4SGE05500-重点,18.0,1.0,1.0,106.99,0.6,待补ABA搜索量/排名,B0F6LJCHXW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack for 2012-2017 toyota camry | 1-pc | a-premium appsr120,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE05500,1.0,1.0,1.0,106.99,0.45,待补ABA搜索量/排名,B0F6LJCHXW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion toyota camry 2013 hybrid,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4SGE05500-重点,9.0,3.0,1.0,106.99,1.8,待补ABA搜索量/排名,B0GR39CKDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering corolla 2009,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,2.0,1.0,1.0,105.99,0.6,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2010 chevy cobalt,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE20300；SP-kw-Mix-转向器-王云-PT4SGE20300-重点,9.0,2.0,1.0,105.82,1.38,待补ABA搜索量/排名,B0H6WLQHP5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota rav 4 2017 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE19100-重点,1.0,1.0,1.0,104.99,0.91,待补ABA搜索量/排名,B0DWMW85HW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 versa 1.8 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE25800,4.0,1.0,1.0,104.99,0.69,待补ABA搜索量/排名,B0GR317V49,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion camry 2013,机会词（有出单未覆盖）,搜索词报告,SP-KW-KC4SGE05500-B0F43P82KJ-转向器-vine,5.0,1.0,1.0,102.99,0.8,待补ABA搜索量/排名,B0F43P82KJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1.8 nissan sentra 2017 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE18300,3.0,2.0,1.0,102.99,0.9,待补ABA搜索量/排名,B0F6Y1Q67S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion toyota yaris 2007 hatchback,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,101.97,0.48,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
mustang 2 manual steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,3.0,2.0,1.0,101.0,0.54,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering pump for a chevy avalanche 07,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,9.0,3.0,1.0,99.99,1.2,待补ABA搜索量/排名,B0DPZN1RR3,词组,新建对应ASIN关键词投放，7天复核,待运营确认
nissan versa hatchback 2010 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE25800,2.0,1.0,1.0,99.99,0.69,待补ABA搜索量/排名,B0DWMVNZQQ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2017 toyota sienna le rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-Kw-Mix-转向器-王云-PT4SGE26100-重点,2.0,2.0,1.0,99.99,1.62,待补ABA搜索量/排名,B0FLY4J24Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for a 2017 nissan sentra,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,1.0,1.0,1.0,98.99,0.4,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion rav 4 2002,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4SGE03400-B0DPCWQQCS,0.0,0.0,1.0,97.99,0.0,待补ABA搜索量/排名,B0DPCWQQCS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
pinto rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4SGE00100-重点；SP-AUTO-MIXS-王云-转向器-KC4SGE00100,46.0,4.0,1.0,95.99,1.56,待补ABA搜索量/排名,B0DPQLLN9D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1999 landcruiser rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE22500-重点,2.0,1.0,1.0,93.61,0.45,待补ABA搜索量/排名,B0DWMTVB9C,词组,新建对应ASIN关键词投放，7天复核,待运营确认
manual steering rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4SGE00100-重点；SP-AUTO-MIXS-王云-转向器-KC4SGE00100,24.0,5.0,1.0,92.99,3.0,待补ABA搜索量/排名,B0DPQLLN9D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KC4SGE00100-重点,1160.0,22.0,1.0,92.99,12.45,待补ABA搜索量/排名,B0DPQLLN9D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,48.0,1.0,1.0,92.39,0.6,待补ABA搜索量/排名,B0DWMSHL7S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
08 expedition rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,6.0,2.0,1.0,92.36,1.0,待补ABA搜索量/排名,B0GR4FCY4R,词组,新建对应ASIN关键词投放，7天复核,待运营确认
car pinion for toyota prius 2014,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE19400,2.0,1.0,1.0,90.79,0.57,待补ABA搜索量/排名,B0GQZ5YHNS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
racketering for 2011 toyota camry,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE08000-重点,1.0,1.0,1.0,90.39,0.45,待补ABA搜索量/排名,B0DQ5F635B,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2018 nissan titan rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,87.99,0.3,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
