搜索词,广告活动,活动ID,ASIN,广告组ID,广告组名称,判定类型,应用层级,曝光,点击,花费,订单,销售额,来源报告周期,处理状态
2014 nissan nv200 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,25.0,2.0,0.95,0.0,0.0,近7天,待模块E校验
2014 ram 1500 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,16.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2016 dodge journey rack and pinion steering assembly,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2016 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2016 ram 1500 electric rack and pinion assembly,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2018 infiniti q50s rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,8.0,2.0,0.6,0.0,0.0,近7天,待模块E校验
2019 ram 1500 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,16.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
bmw rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,7.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
dodge ram 1500 rack and pinion eps,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
electric power steering rack ford f150 2014,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
ford focus 2009 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
ford rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,26.0,3.0,1.41,0.0,0.0,近7天,待模块E校验
heavy duty rack and pinion 2007 gmc yukon,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
honda 262706 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
honda element steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
hydraulic steering rack for mitsubishi pajero io,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,14.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
hydraulic steering rack hyundai elantra 2013,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,24.0,1.0,0.48,1.0,126.99,近7天,待模块E校验
rack and pinion 2005 dodge ram 1500 2 wd,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.23,0.0,0.0,近7天,待模块E校验
rack and pinion 99 nissan pathfinder,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,6.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion bmw 545i 2005,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,56.0,7.0,2.09,0.0,0.0,近7天,待模块E校验
rack and pinion for 08 toyota tundra,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for a 2001 jeep grand cherokee laredo 4x4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for nissan kicks 2018,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,8.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion hyundai elantra 2008,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,12.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion nissan titan 2017,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,11.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion steering assembly 2005 gmc sierra 1500,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
rack and pinion steering assembly for 2006 ford focus zx4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
rack and pinion steering assembly for bmw 328i 2007,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,6.0,2.0,0.54,0.0,0.0,近7天,待模块E校验
rack and pinion steering chrysler town and country 2015,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
steering rack and pinion for 2005 dodge ram 1500 2wd,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,2.0,0.93,0.0,0.0,近7天,待模块E校验
steering rack and pinion for 2005 ram 1500 2wd,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
steering rack for gmc 2017,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,4.0,3.0,1.44,0.0,0.0,近7天,待模块E校验
steering rack for toyota rav4 2004,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
05 dodge dakota slt 4x4 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.32,0.0,0.0,近7天,待模块E校验
2000 suzuki vitara steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2002 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,33.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
2003 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2004 bmw 325ci steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.05,0.0,0.0,近7天,待模块E校验
2004 nissan 350z rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,适配外年份,L2活动级否定,1.0,1.0,0.47,0.0,0.0,近7天,待模块E校验
2005 buick lesabre rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2005 ford explorer rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2005 ford f150 4x4 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,14.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2005gmc sierra rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,36.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2007 buick rendezvous rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,12.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2007 dodge ram 5.6 hemi rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,6.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2008 honda accord se 3.5 rack and pinion assy,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,6.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2009 acura tsx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2010 ford f150 single cab long bed 2wd 4.6l steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,2.0,2.0,0.53,0.0,0.0,近7天,待模块E校验
2011 honda odyssey rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2012 ford fusion 3.0 rack and pinion electric,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,14.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2013 ford explorer rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,17.0,2.0,0.92,0.0,0.0,近7天,待模块E校验
2013 honda accord rack and pinion used,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2014 dodge dart steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2014 ford mustang rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
ford explorer 2004 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,12.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
ford explorer 2011 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
ford focus hydraulic steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.08,0.0,0.0,近7天,待模块E校验
"honda accord gear assembly, steering, rack and pinion",SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
hydraulic steering rack ford limited 2015,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,8.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
hydraulic steering rack honda civic 2012 1.8,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,9.0,1.0,0.06,0.0,0.0,近7天,待模块E校验
hydraulic steering rack honda pilot 2007,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
hyundai kona 2021 car rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.24,0.0,0.0,近7天,待模块E校验
i have a 2006 ford f. 154.2 i need a power steering rack and pinion for the truck what would it cost,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
manual steering rack and pinion assembly compatible with hyundai santa fe 2013-2018,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.08,0.0,0.0,近7天,待模块E校验
philtop electronic power steering rack and pinion compatible with hyundai elantra 2012,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,2.0,0.53,1.0,126.99,近7天,待模块E校验
rack and pinion 2008 ford focus,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion 2013 hyundai santa fe sport,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion cadillac eldorado,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,22.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for honda odyssey 2012,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion with servotronics2007 audi a4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rhd steering rack bmw 318i e46 sedan,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,56.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
steering rack 2009 dodge ram hemi,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,9.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
subaru impreza 2014 2.0l electric rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
subaru rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
toyota sienna 2001 hydraulic steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,3521790765523,手动 今年来毛利率大于等于0.12,不相关品牌/车型,L2活动级否定,21.0,1.0,0.28,0.0,0.0,近7天,待模块E校验
2004 ford f150 rack and pinion,SP-AUTO-MIXS-王云-转向器-KC4PSP16300,282011808707200,B0FQP6BVPQ,304503030611638,KC4PSP16300,不相关品牌,L2活动级否定,2.0,1.0,0.75,0.0,0.0,近7天,待模块E校验
2008 ford f150 4+4 rack and pinion,SP-AUTO-MIXS-王云-转向器-KC4PSP16300,282011808707200,B0GR467465,304503030611638,KC4PSP16300,不相关品牌,L2活动级否定,1.0,1.0,0.66,0.0,0.0,近7天,待模块E校验
1993 toyota corolla rack and pinion,SP-KW-MIXS-王云-转向器-KC4PSP15800,285575805306790,B0DQY5LGZ1,471410807444087,精准下漏,适配外年份,L2活动级否定,2.0,1.0,0.62,0.0,0.0,近7天,待模块E校验
2006 hyundai accent rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE16800,286701403790955,B0FCY4HGCF,496448883253083,KX4SGE16800,适配外年份,L2活动级否定,5.0,1.0,0.72,0.0,0.0,近7天,待模块E校验
2000 ford ranger rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE00500,286788515056225,B0DSDQJT1S,411670340365718,GFNF,适配外年份,L2活动级否定,12.0,2.0,1.28,0.0,0.0,近7天,待模块E校验
2000 ford ranger steering rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE00500,286788515056225,B0GR3ZV3TR,411670340365718,GFNF,适配外年份,L2活动级否定,2.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
steering rack for 2012-2017 toyota camry | 1-pc | a-premium appsr120,SP-KW-MIXS-王云-转向器-KC4SGE05500,287264640879468,B0F6LJCHXW,421208641671034,GFNF,适配外年份,L2活动级否定,1.0,1.0,0.45,1.0,106.99,近7天,待模块E校验
2017 jeep compass 2.4 rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE09100,289758084695247,B0H6WGBZ8Q,423272763409590,广泛年份,适配外年份,L2活动级否定,4.0,1.0,0.87,0.0,0.0,近7天,待模块E校验
rack and pinion toyota rav4 2013,SP-KW-MIXS-王云-转向器-PT4SGE18700,291009935197784,B0FLY3VDV4,513061413822666,RAV4,适配外年份,L2活动级否定,3.0,1.0,0.74,0.0,0.0,近7天,待模块E校验
hydraulic steering rack dodge dakota 2000 3.9,SP-AUTO-MIXS-王云-转向器-KC4SGE04600,291078970738237,B0DPCXMDMM,414810072289732,KC4SGE04600 Hydraulic Power,适配外年份,L2活动级否定,2.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
hydraulic steering rack dodge caravan 3.3 l v6 2005,SP-KW-MIXS-王云-转向器-KX4SGE10100,291579047709623,B0GR4M4ZM7,317633251456665,KX4SGE10100,适配外年份,L2活动级否定,7.0,1.0,0.7,0.0,0.0,近7天,待模块E校验
2005 dodge grand caravan rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE10100,291579047709623,B0H6W8QSG9,379491926832563,广泛年份,适配外年份,L2活动级否定,3.0,1.0,0.87,0.0,0.0,近7天,待模块E校验
rack and pinion for 2005 chrysler town and country,SP-KW-MIXS-王云-转向器-KX4SGE10100,291579047709623,B0H6W8QSG9,379491926832563,广泛年份,不相关品牌,L2活动级否定,5.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2008 pontiac g6 rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE20500,292680179653479,B0FCXQK488,495098406915803,GFNF,适配外年份,L2活动级否定,4.0,2.0,1.39,0.0,0.0,近7天,待模块E校验
2007 dodge ram 1500 rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE00800,294425490142228,B0GQZ61FG1,394321623417211,GFNF,适配外年份,L2活动级否定,5.0,1.0,0.55,0.0,0.0,近7天,待模块E校验
rack and pinion 2010 dodge ram 1500 4x4,SP-KW-MIXS-王云-转向器-KC4SGE00800,294425490142228,B0GQZ61FG1,394321623417211,GFNF,适配外年份,L2活动级否定,2.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
ram 1500 2010 steering rack,SP-KW-MIXS-王云-转向器-KC4SGE00800,294425490142228,B0GQZ61FG1,394321623417211,GFNF,不相关品牌/车型,L2活动级否定,4.0,1.0,0.55,0.0,0.0,近7天,待模块E校验
2002 toyota camry steering rack,SP-KW-BR-王云-转向器-B0F9P3352C-KX4SGE08600,297688755543342,B0F9P3352C,389042467779465,SP-KW-转向器-王云-BD-KX4SGE08600-B0F9P3352C,适配外年份,L2活动级否定,1.0,1.0,0.93,0.0,0.0,近7天,待模块E校验
2014 kia optima rack and pinion,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,476210086247203,广泛,不相关品牌,L2活动级否定,1.0,1.0,0.46,0.0,0.0,近7天,待模块E校验
"2015 kia optima 2.4 steering rack and pinion”, o “steering gear”, o en español “cremallera de dirección kia",SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,476210086247203,广泛,不相关品牌,L2活动级否定,1.0,1.0,0.46,0.0,0.0,近7天,待模块E校验
steering rack for kia optima 2015,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,476210086247203,广泛,不相关品牌,L2活动级否定,1.0,1.0,0.46,0.0,0.0,近7天,待模块E校验
2015 hyundai tucson 2.5 rack and pinion,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,491862605417978,PT4SGE26200 MODEL,适配外年份,L2活动级否定,3.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
kia sportage 2016 revolution steering rack,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,491862605417978,PT4SGE26200 MODEL,适配外年份,L2活动级否定,3.0,2.0,1.44,0.0,0.0,近7天,待模块E校验
steering rack for hyundai tucson 2016 1.6 l,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,491862605417978,PT4SGE26200 MODEL,不相关品牌/车型,L2活动级否定,3.0,1.0,0.63,0.0,0.0,近7天,待模块E校验
2008 buick lucerne rack and pinion 3800,SP-KW-MIXS-王云-转向器-PT4SGE27900,301924735109143,B0F66YZG6G,441381198839184,PT4SGE27900,适配外年份,L2活动级否定,12.0,1.0,0.81,0.0,0.0,近7天,待模块E校验
2010 gmc sierra 1500 rack and pinion,SP-KW-BR-王云-转向器-B0F6LMJFW7-KC4PSP16200,304261490340020,B0F6LMJFW7,381528576739105,SP-KW-转向器-王云-BD-KC4PSP16200-B0F6LMJFW7,适配外年份,L2活动级否定,12.0,1.0,0.85,0.0,0.0,近7天,待模块E校验
2003 toyota camry rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE08600,304702232567773,B0GR4KL1YV,371170618431888,KX4SGE08600,适配外年份,L2活动级否定,3.0,1.0,0.69,0.0,0.0,近7天,待模块E校验
toyota rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE08600,304702232567773,B0GR4KL1YV,371170618431888,KX4SGE08600,不相关品牌,L2活动级否定,5.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
hyundai santafe steering rack rubber,SP-KW-MIXS-王云-转向器-PT4SGE19600,304960509164834,B0DWMSHL7S,557538247253492,广泛,不相关品牌,L2活动级否定,7.0,1.0,0.42,0.0,0.0,近7天,待模块E校验
manual steering rack and pinion assembly compatible with hyundai santa fe 2013-2018,SP-KW-MIXS-王云-转向器-PT4SGE19600,304960509164834,B0GR48CMY4,557538247253492,广泛,适配外年份,L2活动级否定,2.0,1.0,0.08,0.0,0.0,近7天,待模块E校验
2007 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,470703413725164,CR-V,不相关品牌,L2活动级否定,3.0,1.0,0.66,0.0,0.0,近7天,待模块E校验
2009 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,470703413725164,CR-V,不相关品牌,L2活动级否定,1.0,1.0,0.58,0.0,0.0,近7天,待模块E校验
2011 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,470703413725164,CR-V,不相关品牌,L2活动级否定,4.0,1.0,0.58,0.0,0.0,近7天,待模块E校验
honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,470703413725164,CR-V,不相关品牌,L2活动级否定,17.0,2.0,1.24,0.0,0.0,近7天,待模块E校验
