待否词,广告活动,活动ID,ASIN,原判定类型,原应用层级,适配状态,可否决,原因,处理动作,确认状态
heavy duty rack and pinion 2007 gmc yukon,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
honda 262706 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
honda element steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
hydraulic steering rack for mitsubishi pajero io,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack hyundai elantra 2013,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion 2005 dodge ram 1500 2 wd,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion 99 nissan pathfinder,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion bmw 545i 2005,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for 08 toyota tundra,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion for a 2001 jeep grand cherokee laredo 4x4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for nissan kicks 2018,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion hyundai elantra 2008,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion nissan titan 2017,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion steering assembly 2005 gmc sierra 1500,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion steering assembly for 2006 ford focus zx4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion steering assembly for bmw 328i 2007,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion steering chrysler town and country 2015,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack and pinion for 2005 dodge ram 1500 2wd,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack and pinion for 2005 ram 1500 2wd,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack for gmc 2017,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack for toyota rav4 2004,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GR2RS2P2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
05 dodge dakota slt 4x4 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2000 suzuki vitara steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2002 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2003 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2004 bmw 325ci steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2004 nissan 350z rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 buick lesabre rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2005 ford explorer rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2005 ford f150 4x4 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2005gmc sierra rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2007 buick rendezvous rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2007 dodge ram 5.6 hemi rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 honda accord se 3.5 rack and pinion assy,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2009 acura tsx rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2010 ford f150 single cab long bed 2wd 4.6l steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2011 honda odyssey rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2012 ford fusion 3.0 rack and pinion electric,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2013 ford explorer rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2013 honda accord rack and pinion used,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2014 dodge dart steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2014 ford mustang rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford explorer 2004 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford explorer 2011 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford focus hydraulic steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
"honda accord gear assembly, steering, rack and pinion",SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
hydraulic steering rack ford limited 2015,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack honda civic 2012 1.8,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack honda pilot 2007,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
hyundai kona 2021 car rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
i have a 2006 ford f. 154.2 i need a power steering rack and pinion for the truck what would it cost,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
manual steering rack and pinion assembly compatible with hyundai santa fe 2013-2018,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
philtop electronic power steering rack and pinion compatible with hyundai elantra 2012,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion 2008 ford focus,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion 2013 hyundai santa fe sport,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion cadillac eldorado,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for honda odyssey 2012,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion with servotronics2007 audi a4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rhd steering rack bmw 318i e46 sedan,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack 2009 dodge ram hemi,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
subaru impreza 2014 2.0l electric rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
subaru rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
toyota sienna 2001 hydraulic steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0GSCTYV8X,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2004 ford f150 rack and pinion,SP-AUTO-MIXS-王云-转向器-KC4PSP16300,282011808707200,B0FQP6BVPQ,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 ford f150 4+4 rack and pinion,SP-AUTO-MIXS-王云-转向器-KC4PSP16300,282011808707200,B0GR467465,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1993 toyota corolla rack and pinion,SP-KW-MIXS-王云-转向器-KC4PSP15800,285575805306790,B0DQY5LGZ1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2006 hyundai accent rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE16800,286701403790955,B0FCY4HGCF,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2000 ford ranger rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE00500,286788515056225,B0DSDQJT1S,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2000 ford ranger steering rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE00500,286788515056225,B0GR3ZV3TR,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
steering rack for 2012-2017 toyota camry | 1-pc | a-premium appsr120,SP-KW-MIXS-王云-转向器-KC4SGE05500,287264640879468,B0F6LJCHXW,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2017 jeep compass 2.4 rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE09100,289758084695247,B0H6WGBZ8Q,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion toyota rav4 2013,SP-KW-MIXS-王云-转向器-PT4SGE18700,291009935197784,B0FLY3VDV4,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
hydraulic steering rack dodge dakota 2000 3.9,SP-AUTO-MIXS-王云-转向器-KC4SGE04600,291078970738237,B0DPCXMDMM,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
hydraulic steering rack dodge caravan 3.3 l v6 2005,SP-KW-MIXS-王云-转向器-KX4SGE10100,291579047709623,B0GR4M4ZM7,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 dodge grand caravan rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE10100,291579047709623,B0H6W8QSG9,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion for 2005 chrysler town and country,SP-KW-MIXS-王云-转向器-KX4SGE10100,291579047709623,B0H6W8QSG9,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 pontiac g6 rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE20500,292680179653479,B0FCXQK488,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2007 dodge ram 1500 rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE00800,294425490142228,B0GQZ61FG1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion 2010 dodge ram 1500 4x4,SP-KW-MIXS-王云-转向器-KC4SGE00800,294425490142228,B0GQZ61FG1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
ram 1500 2010 steering rack,SP-KW-MIXS-王云-转向器-KC4SGE00800,294425490142228,B0GQZ61FG1,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2002 toyota camry steering rack,SP-KW-BR-王云-转向器-B0F9P3352C-KX4SGE08600,297688755543342,B0F9P3352C,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2014 kia optima rack and pinion,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
"2015 kia optima 2.4 steering rack and pinion”, o “steering gear”, o en español “cremallera de dirección kia",SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack for kia optima 2015,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2015 hyundai tucson 2.5 rack and pinion,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
kia sportage 2016 revolution steering rack,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
steering rack for hyundai tucson 2016 1.6 l,SP-kw-Mix-转向器-王云-PT4SGE26200-重点,300351629242340,B0DWMTDRJB,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 buick lucerne rack and pinion 3800,SP-KW-MIXS-王云-转向器-PT4SGE27900,301924735109143,B0F66YZG6G,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2010 gmc sierra 1500 rack and pinion,SP-KW-BR-王云-转向器-B0F6LMJFW7-KC4PSP16200,304261490340020,B0F6LMJFW7,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2003 toyota camry rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE08600,304702232567773,B0GR4KL1YV,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
toyota rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE08600,304702232567773,B0GR4KL1YV,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hyundai santafe steering rack rubber,SP-KW-MIXS-王云-转向器-PT4SGE19600,304960509164834,B0DWMSHL7S,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
manual steering rack and pinion assembly compatible with hyundai santa fe 2013-2018,SP-KW-MIXS-王云-转向器-PT4SGE19600,304960509164834,B0GR48CMY4,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2007 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2009 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2011 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
honda crv rack and pinion right hand drive all wheel kits 2007,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack honda cr-v 2007,SP-KW-MIXS-王云-转向器-KC4SGE04700,305552428551389,B0DPCWSF3G,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
toyota camry hybrid 2007-2011 electric power steering rack and pinion oem,SP-AUTO-MIXS-王云-转向器-KC4SGE01800,308590308570177,B0H6WDHXH5,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2009 hyundai santa fe rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE14700,309453625967530,B0DPCZ3SPZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2012 mitsubishi lancer steering rack,SP-AUTO-MIXS-王云-转向器-KX4SGE17700,312612243601189,B0DPCWN73Z,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
hydraulic steering rack hyundai santa fe 2002,SP-KW-MIXS-王云-转向器-KC4SGE05000,313628450835140,B0F6LV1CVP,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
toyota sienna 2001 hydraulic steering rack,SP-KW-BR-王云-转向器-B0DPCXS49Q-KX4SGE17100,314896288390667,B0DPCXS49Q,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
set power steering rack and pinion nissan quest 2007 both sides,SP-KW-MIXS-王云-转向器-KC4SGE01200,315156417930204,B0DPCWLPQ4,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 chevrolet equinox rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE26600,317441049496195,B0F671XZ98,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2004 lexus rx330 rack and pinion,SP-KW-MIXS-王云-转向器-KC4PSP17700,321185844966604,B0GQZ8BTP9,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
hydraulic steering rack toyota highlander 2005,SP-KW-MIXS-王云-转向器-KC4PSP17700,321185844966604,B0GQZ8BTP9,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
steering rack chevrolet trax 2018 acdelco,SP-KW-MIXS-王云-转向器-PT4SGE20800,325595994693392,B0GR4TWF3D,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
1998 nissan sentra rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE27500,325682400937210,B0DWMVBR7Q,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
steering rack for nissan sentra 2005,SP-KW-MIXS-王云-转向器-KC4SGE03300,329394352515939,B0GR345J7B,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
